parent_directory,is_file,name,size_in_bytes
./package,True,new_result.json,2
./package,True,new_result.pickle,5
./package,True,new_user.csv,120
./package,True,new_user.json,223
./package,True,new_user.pickle,129
./package,True,results.json,508
./package,True,results.pickle,371
./package,True,results.txt,357
./package,True,task_1.py,684
./package,True,task_2.py,1087
./package,True,task_3.py,748
./package,True,task_4.py,908
./package,True,task_5.py,692
./package,True,task_6.py,609
./package,True,task_7.py,668
./package,True,user.csv,44
./package,True,user.json,138
./package,True,user.pickle,91
./package,True,__init__.py,80
./package,False,__pycache__,10344
./package\__pycache__,True,task_1.cpython-312.pyc,1193
./package\__pycache__,True,task_2.cpython-312.pyc,1796
./package\__pycache__,True,task_3.cpython-312.pyc,1570
./package\__pycache__,True,task_4.cpython-312.pyc,1627
./package\__pycache__,True,task_5.cpython-312.pyc,1240
./package\__pycache__,True,task_6.cpython-312.pyc,1382
./package\__pycache__,True,task_7.cpython-312.pyc,1275
./package\__pycache__,True,__init__.cpython-312.pyc,261
